Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,City,Zip Code,Latitude,Longitude,Population,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Customer Status,Churn Label,CLTV
Male,23,Yes,No,No,No,0,Santa Monica,90405,34.005439,-118.477507,26099,No,0,3,,Yes,47.68,No,Yes,DSL,82,No,No,No,No,Yes,No,Yes,Yes,Month-to-Month,No,Credit Card,53.4,188.7,0.0,0,143.04,331.74,2,Churned,Yes,2755
Female,42,No,No,Yes,No,0,Torrance,90505,33.807882,-118.347957,34873,Yes,1,68,,Yes,44.24,Yes,Yes,Fiber Optic,5,No,No,No,No,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,83.0,5685.8,0.0,0,3008.32,8694.12,1,Churned,Yes,4714
Male,47,No,No,No,Yes,2,Buena Park,90621,33.874224,-117.993368,33528,No,0,1,,Yes,11.86,No,Yes,Cable,13,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,50.6,50.6,0.0,0,11.86,62.46,1,Churned,Yes,3677
Male,55,No,No,No,No,0,La Palma,90623,33.850504,-118.039892,15505,No,0,10,Offer D,Yes,12.78,No,Yes,Fiber Optic,2,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,89.5,863.1,0.0,0,127.8,990.9,3,Churned,Yes,4206
Male,50,No,No,No,No,0,La Habra,90631,33.940619,-117.9513,67354,No,0,1,,Yes,22.86,No,Yes,Fiber Optic,25,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,69.8,69.8,0.0,10,22.86,102.66,2,Churned,Yes,4154
Male,44,No,No,Yes,No,0,Santa Fe Springs,90670,33.933565,-118.062611,16271,Yes,1,24,,Yes,34.62,Yes,Yes,Fiber Optic,23,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.05,2391.8,0.0,0,830.8799999999999,3222.6800000000003,1,Churned,Yes,4766
Male,53,No,No,Yes,No,0,Lakewood,90712,33.840524,-118.148403,30173,Yes,1,18,Offer D,Yes,31.49,Yes,Yes,Fiber Optic,20,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.7,1687.95,0.0,0,566.8199999999999,2254.77,1,Churned,Yes,2206
Male,44,No,No,Yes,Yes,1,Sunset Beach,90742,33.719221,-118.073596,1107,Yes,4,4,,Yes,27.24,No,Yes,DSL,21,No,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,61.45,229.55,0.0,0,108.96,338.51,2,Churned,Yes,2131
Male,20,Yes,No,No,No,0,Long Beach,90804,33.783047,-118.1486,43467,No,0,1,Offer E,Yes,7.15,No,Yes,Fiber Optic,48,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,90.55,90.55,0.0,0,7.15,97.7,1,Churned,Yes,3898
Female,58,No,No,No,No,0,Long Beach,90807,33.830099,-118.182239,31556,No,0,26,,Yes,38.09,No,Yes,Fiber Optic,22,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,88.8,2274.35,0.0,50,990.34,3314.69,2,Churned,Yes,4910
Male,23,Yes,No,No,No,0,Long Beach,90814,33.771612,-118.143866,19034,No,0,7,Offer E,Yes,18.83,Yes,Yes,Fiber Optic,26,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,85.2,602.55,0.0,0,131.81,734.3599999999999,1,Churned,Yes,3905
Male,54,No,No,Yes,No,0,South Pasadena,91030,34.110444,-118.156957,23984,Yes,1,42,,Yes,2.41,Yes,Yes,Fiber Optic,21,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,106.15,4512.7,0.0,0,101.22,4613.92,1,Churned,Yes,2265
Female,36,No,No,No,No,0,Pasadena,91105,34.13946,-118.166649,10253,No,0,4,Offer E,Yes,39.9,No,Yes,Cable,20,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45.3,196.95,0.0,0,159.6,356.54999999999995,2,Churned,Yes,3443
Male,37,No,No,No,No,0,Glendale,91203,34.153338,-118.262974,14493,No,0,2,,Yes,2.96,Yes,Yes,Fiber Optic,15,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,73.25,131.05,0.0,0,5.92,136.97,1,Churned,Yes,2919
Male,47,No,No,Yes,Yes,1,Glendale,91208,34.195386,-118.238508,16910,Yes,1,8,Offer E,Yes,3.85,No,Yes,DSL,20,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,51.05,415.05,0.0,0,30.8,445.85,1,Churned,Yes,3758
Female,63,No,No,Yes,No,0,Canoga Park,91303,34.19829,-118.602203,23519,Yes,1,9,Offer E,Yes,14.21,Yes,Yes,Fiber Optic,5,No,No,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,85.35,754.65,0.0,50,127.89,932.54,3,Churned,Yes,2445
Male,63,No,No,No,No,0,Chatsworth,91311,34.294142,-118.603883,35325,No,0,43,,Yes,34.0,No,Yes,Fiber Optic,11,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.2,3198.6,0.0,0,1462.0,4660.6,1,Churned,Yes,4673
Female,54,No,No,No,No,0,Encino,91316,34.150354,-118.518292,27614,No,0,1,Offer E,Yes,15.51,No,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.9,20.9,0.0,0,15.51,36.41,3,Churned,Yes,5527
Male,23,Yes,No,No,No,0,Valencia,91355,34.43987,-118.644609,24977,No,0,3,Offer E,Yes,48.84,No,Yes,DSL,41,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,43.3,123.65,0.0,0,146.52,270.17,3,Churned,Yes,4849
Male,38,No,No,Yes,No,0,Tarzana,91356,34.157137,-118.548511,27424,Yes,1,70,,Yes,39.63,No,Yes,Fiber Optic,26,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,109.5,7534.65,0.0,0,2774.1000000000004,10308.75,2,Churned,Yes,6136
Male,63,No,No,Yes,No,0,Fallbrook,92028,33.362575,-117.299644,42239,Yes,1,1,Offer E,Yes,44.73,Yes,Yes,Fiber Optic,3,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.6,74.6,0.0,0,44.73,119.32999999999998,1,Churned,Yes,5861
Male,35,No,No,No,No,0,Sherman Oaks,91403,34.147149,-118.463365,22085,No,0,16,Offer D,Yes,5.74,No,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,19.7,342.4,0.0,0,91.84,434.24,1,Churned,Yes,3438
Female,25,Yes,No,No,No,0,Sherman Oaks,91423,34.146957,-118.432138,29387,No,0,15,Offer D,Yes,36.34,No,Yes,DSL,48,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,59.45,892.65,0.0,0,545.1,1437.75,1,Churned,Yes,5129
Female,23,Yes,No,No,No,0,Burbank,91501,34.188339,-118.300942,18112,No,0,46,,Yes,43.04,No,Yes,Fiber Optic,71,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,105.2,4822.85,0.0,0,1979.84,6802.6900000000005,2,Churned,Yes,3322
Male,59,No,No,No,No,0,Los Angeles,90028,34.099869,-118.326843,30568,No,0,8,,Yes,35.53,No,Yes,Cable,5,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45.15,438.4,0.0,0,284.24,722.64,2,Churned,Yes,3721
Male,62,No,No,Yes,No,0,Valley Village,91607,34.165783,-118.399795,27453,Yes,1,31,,Yes,2.12,Yes,Yes,Fiber Optic,17,No,Yes,Yes,No,Yes,No,No,No,Month-to-Month,No,Bank Withdrawal,93.8,3019.5,0.0,50,65.72,3135.22,1,Churned,Yes,4115
Male,45,No,No,No,No,0,Claremont,91711,34.127621,-117.717863,34716,No,0,32,,Yes,25.21,No,Yes,Fiber Optic,26,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,96.2,3183.4,0.0,0,806.72,3990.12,3,Churned,Yes,3606
Female,20,Yes,No,No,No,0,Covina,91722,34.097345,-117.906736,33817,No,0,1,Offer E,Yes,21.72,No,Yes,Fiber Optic,52,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,79.6,79.6,0.0,0,21.72,101.32,2,Churned,Yes,3108
Male,49,No,No,No,No,0,El Monte,91731,34.079934,-118.046695,30211,No,0,20,Offer D,Yes,1.36,Yes,Yes,Fiber Optic,25,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.25,1734.5,0.0,0,27.200000000000003,1761.7,2,Churned,Yes,2414
Male,34,No,No,No,No,0,Glendora,91741,34.14649,-117.849815,24973,No,0,26,,Yes,24.16,Yes,Yes,Fiber Optic,22,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.5,2088.8,0.0,0,628.16,2716.96,3,Churned,Yes,2729
Male,61,No,No,No,No,0,Rowland Heights,91748,33.976753,-117.897367,46342,No,0,1,Offer E,Yes,43.03,No,Yes,DSL,3,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,50.75,50.75,0.0,0,43.03,93.78,2,Churned,Yes,5355
Female,57,No,No,Yes,No,0,Mira Loma,91752,33.999992,-117.535395,18980,Yes,1,14,Offer D,Yes,7.62,No,Yes,Fiber Optic,3,No,Yes,No,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Credit Card,89.65,1208.35,0.0,120,106.68,1435.03,1,Churned,Yes,2504
Male,25,Yes,No,No,No,0,Pomona,91767,34.083086,-117.737997,46626,No,0,36,,Yes,26.51,No,Yes,Cable,85,No,Yes,No,Yes,No,Yes,Yes,Yes,One Year,Yes,Credit Card,65.4,2498.4,0.0,0,954.36,3452.76,1,Churned,Yes,5220
Female,50,No,No,No,Yes,2,San Dimas,91773,34.102119,-117.815532,33878,No,0,9,,Yes,35.49,No,Yes,Cable,11,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,72.9,651.4,0.0,0,319.41,970.81,1,Churned,Yes,3585
Male,25,Yes,No,No,No,0,Walnut,91789,34.018354,-117.85492,45118,No,0,5,,No,0.0,No,Yes,Cable,59,Yes,No,Yes,Yes,No,No,Yes,Yes,Month-to-Month,No,Credit Card,40.0,223.45,0.0,0,0.0,223.45,1,Churned,Yes,3125
Female,40,No,No,No,No,0,Alhambra,91803,34.074736,-118.145959,30635,No,0,2,,Yes,36.81,No,Yes,Fiber Optic,16,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.25,181.65,0.0,0,73.62,255.27,2,Churned,Yes,3529
Female,43,No,No,No,No,0,Alpine,91901,32.827184,-116.703729,16486,No,0,1,,Yes,36.99,No,Yes,Cable,22,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.65,45.65,0.0,0,36.99,82.64,2,Churned,Yes,4689
Male,30,No,No,No,No,0,Bonita,91902,32.67117,-117.00232,17389,No,0,8,,Yes,13.04,No,Yes,Fiber Optic,85,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,70.1,551.35,0.0,10,104.32,665.6700000000001,1,Churned,Yes,2899
Female,19,Yes,No,No,No,0,Chula Vista,91910,32.636792,-117.054989,74025,No,0,3,,Yes,1.24,No,Yes,DSL,52,Yes,Yes,No,No,No,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,55.35,165.2,0.0,0,3.72,168.92,2,Churned,Yes,5787
Male,34,No,No,No,No,0,Guatay,91931,32.857946,-116.561917,796,No,0,2,,Yes,19.52,No,Yes,Cable,16,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,45.85,81.0,0.0,0,39.04,120.04,1,Churned,Yes,3843
Male,64,No,No,No,No,0,La Mesa,91942,32.782501,-117.01611,24005,No,0,39,Offer C,Yes,36.17,Yes,Yes,Fiber Optic,5,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,75.25,3017.65,0.0,0,1410.63,4428.280000000001,3,Churned,Yes,4696
Female,24,Yes,No,No,No,0,Mount Laguna,91948,32.830852,-116.444601,81,No,0,12,Offer D,Yes,30.54,Yes,Yes,Fiber Optic,47,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.15,1164.3,0.0,0,366.48,1530.78,2,Churned,Yes,3682
Female,53,No,No,Yes,Yes,3,Carlsbad,92009,33.098018,-117.258203,43161,No,0,2,,No,0.0,No,Yes,DSL,52,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,24.4,36.55,0.0,0,0.0,36.55,3,Churned,Yes,2635
Female,36,No,No,No,No,0,Fallbrook,92028,33.362575,-117.299644,42239,No,0,4,,Yes,2.01,No,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,20.95,85.5,0.0,0,8.04,93.54,1,Churned,Yes,5822
Male,37,No,No,No,No,0,Oceanside,92057,33.254497,-117.285879,46893,No,0,9,,Yes,8.91,No,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.25,178.5,0.0,0,80.19,258.69,1,Churned,Yes,3361
Female,38,No,No,No,No,0,San Diego,92108,32.774046,-117.142454,11650,No,0,9,,Yes,15.62,No,Yes,DSL,2,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,45.15,416.45,0.0,0,140.57999999999998,557.03,1,Churned,Yes,3757
Female,59,No,No,Yes,No,0,San Diego,92113,32.697098,-117.116587,47431,Yes,1,50,,Yes,35.33,Yes,Yes,Fiber Optic,17,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.4,4116.15,0.0,0,1766.5,5882.65,1,Churned,Yes,5135
Female,36,No,No,No,No,0,Coronado,92118,32.68674,-117.186612,24093,No,0,1,,Yes,5.94,Yes,Yes,Fiber Optic,8,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.1,75.1,0.0,0,5.94,81.03999999999999,2,Churned,Yes,4335
Female,50,No,No,Yes,No,0,San Diego,92119,32.802959,-117.027095,21866,Yes,1,54,,Yes,42.1,Yes,Yes,DSL,12,No,No,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,70.15,3715.65,0.0,0,2273.4,5989.05,3,Churned,Yes,4596
Male,64,No,No,No,No,0,San Diego,92120,32.807867,-117.060993,25569,No,0,42,,Yes,18.79,Yes,Yes,Fiber Optic,16,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.75,4273.45,0.0,0,789.18,5062.63,2,Churned,Yes,5545
Female,41,No,No,No,No,0,San Diego,92121,32.898613,-117.202937,4258,No,0,1,Offer E,Yes,22.11,No,Yes,DSL,18,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,45.8,45.8,0.0,10,22.11,77.91,1,Churned,Yes,5973
Male,63,No,No,No,No,0,San Diego,92127,33.017518,-117.118456,20046,No,0,1,Offer E,Yes,40.83,No,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,20.1,20.1,0.0,0,40.83,60.93,3,Churned,Yes,4933
Male,64,No,No,Yes,No,0,San Diego,92128,33.000269,-117.072093,42733,Yes,2,9,Offer E,No,0.0,No,Yes,DSL,26,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,No,Mailed Check,40.65,328.95,0.0,0,0.0,328.95,1,Churned,Yes,4800
Male,62,No,No,No,No,0,San Diego,92130,32.957195,-117.202542,28201,No,0,1,Offer E,Yes,38.66,No,Yes,Fiber Optic,18,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.1,69.1,0.0,0,38.66,107.76,1,Churned,Yes,5795
Female,25,Yes,No,No,No,0,San Ysidro,92173,32.555828,-117.040073,28488,No,0,13,Offer D,Yes,6.03,Yes,Yes,Fiber Optic,48,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Mailed Check,75.0,999.45,0.0,0,78.39,1077.84,2,Churned,Yes,2189
Male,56,No,No,Yes,No,0,Indio,92201,33.713891,-116.237257,56307,Yes,1,19,,Yes,43.95,No,Yes,Fiber Optic,20,No,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,100.0,1888.65,0.0,0,835.0500000000001,2723.7000000000003,2,Churned,Yes,2608
Female,25,Yes,No,No,No,0,Palm Desert,92211,33.762759,-116.324817,19702,No,0,24,Offer C,No,0.0,No,Yes,DSL,52,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,54.15,1240.25,0.0,0,0.0,1240.25,1,Churned,Yes,5153
Female,59,No,No,Yes,No,0,Brawley,92227,33.03933,-115.191857,23394,Yes,1,67,,Yes,32.15,Yes,Yes,Fiber Optic,28,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,108.75,7156.2,0.0,0,2154.05,9310.25,1,Churned,Yes,5516
Female,59,No,No,Yes,No,0,Calexico,92231,32.690654,-115.431225,27804,Yes,1,6,Offer E,Yes,6.94,No,Yes,DSL,28,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.15,270.8,0.0,0,41.64,312.44,1,Churned,Yes,5271
Male,30,No,No,No,Yes,3,Desert Center,92239,33.889605,-115.257009,964,No,0,20,,Yes,22.78,No,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,19.4,374.5,0.0,0,455.6,830.1,2,Churned,Yes,3785
Female,36,No,No,Yes,No,0,Palm Springs,92262,33.839989,-116.659215,24924,Yes,1,11,,Yes,7.89,Yes,Yes,Fiber Optic,10,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,102.0,1145.35,0.0,0,86.78999999999999,1232.14,1,Churned,Yes,5750
Female,60,No,No,No,No,0,Rancho Mirage,92270,33.763678,-116.429928,12465,No,0,2,Offer E,Yes,24.71,No,No,,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,20.65,38.7,0.0,0,49.42,88.12,2,Churned,Yes,3845
Female,23,Yes,No,No,No,0,Thousand Palms,92276,33.849263,-116.382778,6242,No,0,1,Offer E,Yes,30.6,No,Yes,Fiber Optic,27,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Mailed Check,70.8,70.8,0.0,0,30.6,101.4,3,Churned,Yes,3901
Male,37,No,No,No,No,0,Escondido,92027,33.141265,-116.967221,48690,No,0,16,,Yes,11.96,Yes,Yes,Fiber Optic,18,No,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,89.05,1448.6,0.0,0,191.36,1639.96,3,Churned,Yes,5953
Female,48,No,No,No,No,0,Twentynine Palms,92278,34.457829,-116.139589,14104,No,0,3,Offer E,Yes,9.95,Yes,Yes,Fiber Optic,13,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,96.6,291.9,0.0,0,29.85,321.75,1,Churned,Yes,3260
Female,47,No,No,Yes,No,0,White Water,92282,33.972293,-116.654195,805,Yes,1,57,,Yes,40.13,Yes,Yes,Fiber Optic,25,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,104.5,5921.35,0.0,0,2287.4100000000003,8208.76,1,Churned,Yes,4471
Female,54,No,No,No,No,0,Fallbrook,92028,33.362575,-117.299644,42239,No,0,5,Offer E,Yes,37.1,Yes,Yes,Cable,2,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,50.6,249.95,0.0,20,185.5,455.45,2,Churned,Yes,2353
Male,40,No,No,No,Yes,1,Big Bear City,92314,34.278967,-116.773825,9899,No,0,4,Offer E,Yes,26.04,No,Yes,DSL,27,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,49.35,219.65,0.0,0,104.16,323.81,1,Churned,Yes,5858
Male,22,Yes,No,No,No,0,Bloomington,92316,34.059722,-117.39104,25995,No,0,7,Offer E,Yes,12.05,No,Yes,Fiber Optic,69,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.25,669.0,0.0,0,84.35000000000001,753.35,3,Churned,Yes,5267
Female,64,No,No,Yes,No,0,Calimesa,92320,33.982787,-117.057627,7334,Yes,1,1,Offer E,Yes,21.65,No,Yes,Fiber Optic,13,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,68.95,68.95,0.0,0,21.65,90.6,2,Churned,Yes,5644
Male,62,No,No,No,No,0,Fontana,92336,34.136367,-117.460803,54586,No,0,4,,Yes,42.44,Yes,Yes,Fiber Optic,29,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.05,318.9,0.0,0,169.76,488.66,1,Churned,Yes,3685
Male,44,No,No,No,No,0,Fontana,92337,34.049671,-117.468896,29847,No,0,1,,No,0.0,No,Yes,Cable,2,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,24.45,24.45,0.0,0,0.0,24.45,3,Churned,Yes,2121
Male,35,No,No,No,No,0,Green Valley Lake,92341,34.244411,-117.072654,317,No,0,7,,Yes,36.84,Yes,Yes,Fiber Optic,17,No,No,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Credit Card,89.35,631.85,0.0,60,257.88,949.73,1,Churned,Yes,4154
Male,60,No,No,Yes,No,0,Hinkley,92347,34.983808,-117.239306,1933,Yes,3,4,,Yes,32.43,No,Yes,Fiber Optic,13,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.35,307.4,0.0,0,129.72,437.12,1,Churned,Yes,4167
Male,24,Yes,No,No,No,0,Temecula,92592,33.507255,-117.029473,46171,No,0,1,,Yes,31.34,No,Yes,Fiber Optic,52,No,No,No,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,79.05,79.05,0.0,0,31.34,110.39,1,Churned,Yes,3555
Male,42,No,No,Yes,No,0,Oro Grande,92368,34.647959,-117.296957,909,Yes,1,1,,Yes,12.04,No,Yes,Cable,5,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.0,95.0,0.0,0,12.04,107.04,1,Churned,Yes,4489
Female,29,Yes,No,No,No,0,Phelan,92371,34.441123,-117.537886,12463,No,0,1,,No,0.0,No,Yes,DSL,73,No,No,No,No,No,No,Yes,Yes,Month-to-Month,No,Mailed Check,25.2,25.2,0.0,0,0.0,25.2,2,Churned,Yes,3196
Male,34,No,No,Yes,No,0,San Bernardino,92401,34.105935,-117.2914,1779,Yes,1,54,,Yes,42.09,No,Yes,Fiber Optic,9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,109.75,6110.2,0.0,0,2272.86,8383.06,2,Churned,Yes,6274
Male,56,No,No,No,No,0,San Bernardino,92405,34.142747,-117.300864,24644,No,0,2,,Yes,15.79,No,No,,0,No,No,No,No,No,No,No,No,One Year,No,Credit Card,19.3,28.3,0.0,0,31.58,59.88,3,Churned,Yes,2279
Female,33,No,No,No,No,0,Riverside,92503,33.890046,-117.455583,71678,No,0,15,,Yes,9.71,Yes,Yes,DSL,26,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.1,679.55,0.0,0,145.65,825.1999999999999,1,Churned,Yes,5209
Female,29,Yes,No,No,No,0,Riverside,92506,33.930931,-117.361788,42425,No,0,31,Offer C,Yes,31.14,Yes,Yes,Cable,52,Yes,No,Yes,Yes,No,No,No,No,Month-to-Month,No,Credit Card,65.25,1994.3,0.0,120,965.34,3079.6400000000003,1,Churned,Yes,4403
Male,46,No,No,Yes,No,0,March Air Reserve Base,92518,33.888323,-117.277533,1005,Yes,9,61,Offer B,Yes,26.94,Yes,Yes,Fiber Optic,11,No,Yes,No,Yes,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,94.1,5638.3,0.0,0,1643.34,7281.64,3,Churned,Yes,6295
Male,51,No,No,Yes,No,0,Anza,92539,33.527605,-116.666551,3745,Yes,2,24,Offer C,Yes,3.0,Yes,Yes,Fiber Optic,15,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,104.65,2542.45,0.0,0,72.0,2614.45,3,Churned,Yes,4734
Female,44,No,No,No,No,0,Moreno Valley,92555,33.907361,-117.109972,12743,No,0,3,,Yes,35.54,Yes,Yes,Fiber Optic,27,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.25,210.3,0.0,0,106.62,316.92,3,Churned,Yes,3207
Male,57,No,No,Yes,No,0,Temecula,92591,33.540604,-117.10909,25655,Yes,1,4,,Yes,28.22,Yes,Yes,Fiber Optic,10,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.2,420.2,0.0,0,112.88,533.0799999999999,2,Churned,Yes,2650
Female,46,No,No,Yes,No,0,Irvine,92602,33.720359,-117.733655,2762,Yes,1,57,Offer B,Yes,36.65,No,Yes,DSL,7,Yes,No,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,70.1,3913.3,0.0,0,2089.05,6002.35,1,Churned,Yes,4669
Female,29,Yes,No,No,No,0,Foothill Ranch,92610,33.698728,-117.67768,10936,No,0,4,,Yes,43.45,No,Yes,Fiber Optic,52,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,105.65,443.9,0.0,0,173.8,617.7,2,Churned,Yes,4663
Female,27,Yes,No,No,No,0,Costa Mesa,92626,33.678591,-117.905471,48207,No,0,35,Offer C,Yes,8.8,Yes,Yes,Cable,46,Yes,No,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Credit Card,85.95,3110.1,0.0,0,308.0,3418.1,1,Churned,Yes,3833
Male,50,No,No,No,No,0,Costa Mesa,92627,33.645672,-117.922613,62069,No,0,4,Offer E,Yes,33.65,No,Yes,Fiber Optic,30,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.9,280.85,0.0,0,134.6,415.4500000000001,1,Churned,Yes,4479
Female,39,No,No,Yes,No,0,Huntington Beach,92647,33.723579,-118.005441,58764,Yes,1,58,Offer B,Yes,27.99,Yes,Yes,Fiber Optic,24,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,109.45,6144.55,0.0,0,1623.4199999999998,7767.97,1,Churned,Yes,6424
Female,21,Yes,No,No,No,0,Silverado,92676,33.782346,-117.635263,1859,No,0,30,Offer C,Yes,11.73,Yes,Yes,Fiber Optic,82,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.2,2983.8,0.0,0,351.90000000000003,3335.7000000000003,1,Churned,Yes,3598
